,mean_mase,mean_mase,mean_mase,mean_mase,mean_crps,mean_crps,mean_crps,mean_crps
level,L1_national,L2_region,L3_county,L4_subcounty,L1_national,L2_region,L3_county,L4_subcounty
model_id,,,,,,,,
ARIMA,0.5,0.5406,0.7275,0.8009,13613.165,1742.8557,430.4336,105.518
DL_ANN,7.2751,0.7425,0.0945,0.233,15185.3063,1590.6842,211.3214,24.7719
DL_LSTM,6.4032,0.6419,0.0833,0.2076,13348.4754,1386.8343,182.1074,25.803
ETS,0.4584,0.4845,0.6592,0.7326,12268.6392,1559.1123,395.6487,97.5524
FM_Chronos,7.3474,0.8616,0.2077,0.8695,15657.198,1829.6056,441.3422,114.2253
FSP_Hybrid_Capacity,84.1743,9.349,1.7981,3.6852,222257.681,24681.609,4748.4439,749.1342
ML_ElasticNet,0.3009,0.1017,0.0119,0.0037,630.9056,228.0524,27.5392,0.5375
ML_LightGBM,5.7429,0.5375,0.1004,0.2301,13392.9584,1253.611,228.2243,27.6776
ML_RandomForest,4.1845,0.4338,0.068,0.0451,9815.4487,1034.5614,165.6834,12.3874
ML_XGBoost,7.645,0.4905,0.0908,0.2057,20757.6579,1162.5706,206.3907,25.7097
NAIVE,1.0,1.0,1.0,1.0,41951.9274,4461.2192,808.5188,156.4597
hybrid_bias_adjustment,28.3732,3.3487,0.546,1.3339,77873.9125,8884.377,1156.3156,223.6134
hybrid_weighted,36.0985,3.8469,1.4075,3.15,99789.5199,10325.0053,3542.0069,639.312
ml_combined,5.0937,0.4553,0.0804,0.1496,11843.1966,1057.1481,186.1122,20.546
sNAIVE,0.5413,0.5788,0.8028,0.82,15243.5647,1932.1744,485.199,106.7205
statistical_combined,0.4636,0.4998,0.6465,0.6812,19459.7128,2150.0448,462.5902,97.7803
