model_id,truncation_method,MASE,RMSSE_Pooled,SCRPS,Mean_Runtime
arima,0_Untruncated,0.436,0.5692,0.3662,10.841403277715047
arima,1_FSP_Truncated,0.414,0.5399,0.346,10.841403277715047
dl_ann,0_Untruncated,0.1126,0.228,0.1165,20.03
dl_ann,1_FSP_Truncated,0.1085,0.2224,0.1037,21.8151
dl_lstm,0_Untruncated,0.2915,0.6537,0.2713,25.1759
dl_lstm,1_FSP_Truncated,0.2994,0.6769,0.2051,28.7818
ets,0_Untruncated,0.4166,0.6885,0.3478,4.1836964130401615
ets,1_FSP_Truncated,0.4002,0.6326,0.3293,4.1836964130401615
fm_chronos,0_Untruncated,0.4148,0.5536,0.3505,23.2136
fm_chronos,1_FSP_Truncated,0.4071,0.5367,0.3453,26.7565
fsp_benchmark,0_Untruncated,1.0,1.0,1.0,0.8744
hybrid_bias_adjustment,0_Untruncated,0.4203,0.4813,0.4117,4165.5828
hybrid_bias_adjustment,1_FSP_Truncated,0.4135,0.4697,0.4065,4171.2625
hybrid_weighted,0_Untruncated,0.2042,0.3696,0.1824,4165.5828
hybrid_weighted,1_FSP_Truncated,0.1889,0.3462,0.1704,4171.2625
linear_combined,0_Untruncated,0.0023,0.0032,0.0032,1.0885
linear_combined,1_FSP_Truncated,0.0031,0.0039,0.0044,0.9417
ml_combined,0_Untruncated,0.045,0.0669,0.0599,63.2951
ml_combined,1_FSP_Truncated,0.044,0.0669,0.0615,72.6499
ml_elasticnet,0_Untruncated,0.002,0.0026,0.0025,0.5251
ml_elasticnet,1_FSP_Truncated,0.0019,0.0024,0.0025,0.6212
ml_lasso,0_Untruncated,0.0031,0.0044,0.0039,0.6187
ml_lasso,1_FSP_Truncated,0.0044,0.0055,0.0059,0.3725
ml_lightgbm,0_Untruncated,0.079,0.1107,0.0787,2.2839
ml_lightgbm,1_FSP_Truncated,0.0769,0.1089,0.0797,2.2962
ml_randomforest,0_Untruncated,0.0211,0.0422,0.0591,60.4948
ml_randomforest,1_FSP_Truncated,0.0191,0.0406,0.0573,63.0415
ml_xgboost,0_Untruncated,0.0628,0.0913,0.059,1.169
ml_xgboost,1_FSP_Truncated,0.062,0.0912,0.0615,1.2157
naive,0_Untruncated,0.5913,0.7764,0.5753,2.014184575610691
naive,1_FSP_Truncated,0.5832,0.7605,0.4554,2.014184575610691
snaive,0_Untruncated,0.5104,0.6664,0.4328,2.071754577424791
snaive,1_FSP_Truncated,0.4688,0.605,0.38,2.071754577424791
statistical_combined,0_Untruncated,0.4039,0.5262,0.372,4134.0292
statistical_combined,1_FSP_Truncated,0.3877,0.5053,0.3551,4134.0292
